name,address
Smoky Mountain Country Club,"1220 Golf Course Rd Newport, TN 37821"
Smyrna Municipal Golf Course,"101 Sam Ridley Pkwy E Smyrna, TN 37167"
Somerville Country Club,"440 Beech Loop Somerville, TN 38068"
South Hills Golf Club,"795 Tuskeegee Dr Oak Ridge, TN 37830"
Southwest Point Golf Course,"1099 Decatur Hwy Kingston, TN 37763"
Sparta Golf & Country Club,"129 Lester Flat Rd Sparta, TN 38583"
Springbrook Golf & Country Club,"123 Country Club Ln Niota, TN 37826"
Springfield Golf & Country Club,"2203 Ruth St Springfield, TN 37172"
Steel Creek Golf Course,"20 Little Ln Bristol, TN 37620"
Stonebridge Golf Course,"3049 Davies Plantation Rd S Lakeland, TN 38002"
Stones River Country Club,"1830 NW Broad St Murfreesboro, TN 37129"
Swan Lake Municipal Golf Course,"581 Dunbar Cave Rd Clarksville, TN 37043"
Sweetens Cove Golf Club,"2040 Sweeten Cove Road South Pittsburg, TN 37380"
Sycamore Valley Golf Course,"1 Fairway Ln Ashland City, TN 37015"
T. O. Fuller State Park Golf Course,"1500 W Mitchell Rd Memphis, TN 38109"
Ted Rhodes Golf Course,"1901 Ed Temple Blvd Nashville, TN 37208"
Tellico Village - The Links at Kahite ,"400 Kahite Trail Vonore, TN 37885"
Temple Hills Country Club,"6376 Temple Rd Franklin, TN 37069"
The Club at Fairvue Plantation,"981 Plantation Boulevard Gallatin, TN 37066"
The Country Club,"1635 Doyal Dr Morristown, TN 37814"
The Course at Pillow Springs,"119 Stoneybrook Rd Columbia, TN 38401"
The Course at Sewanee,"Greens View Rd Sewanee, TN 37383"
The Farms Golf Club,"2100 Clubhouse Dr Dyersburg, TN 38024"
The Golf Club,"802 Lee Shirley Rd Maryville, TN 37801"
The Golf Club of Tennessee,"1 Golf Club Dr Kingston Springs, TN 37082"
The Governors Club,"9681 Concord Rd Brentwood, TN 37027"
The Greens at Deerfield,"1001 The Clubhouse Dr LaFollette, TN 37766"
The Honors Course,"9603 Lee Hwy Ooltewah, TN 37363"
The Legacy,"100 Ray Floyd Dr Springfield, TN 37172"
The Links At Galloway,"3815 Walnut Grove Rd Memphis, TN 38111"
The Little Course at Connor Lane,"400 Franklin Rd Franklin, TN 37069"
The Memphis Country Club,"3034 Sern Ave Memphis, TN 38111"
The Ridges Golf & Country Club,"1501 Ridges Club Dr Jonesboro, TN 37659"
The Tennessean Golf Club,"900 Olde Tennessee Trail Springville, TN 38256"
Three Ridges Golf Course,"6101 Wise Springs Rd Knoxville, TN 37918"
TPC at Southwind,"3325 Club at Swind Memphis, TN 38125"
Tri Cities Golf Course,"2354 Feathers Chapel Rd Blountville, TN 37617"
Tri-County Golf Club,"203 Mahoney Rd Oliver Springs, TN 37840"
Twelve Stones Crossing,"1201 Twelve Stones Crossing Goodlettsville, TN 37072"
Twin Creeks Golf Course,"90 Chuckey Hwy Chuckey, TN 37641"
Two Rivers Golf Course,"3140 McGavock Pike Nashville, TN 37214"
Valleybrook Golf & Country Club,"180 Valleybrook Rd Hixson, TN 37343"
Veterans Administration Golf Course,"Memorial Blvd Murfreesboro, TN 37129"
Waverly Country Club,"195 Golf Club Ln Waverly, TN 37185"
Westhaven Golf Club,"4000 Golf Club Lane Franklin, TN 37064"
White Oaks Golf Course,"705 County Rd 105 Athens, TN 37303"
White Pine Golf Club,"Leadvale Rd White Pine, TN 37890"
White Plains Golf Course,"4000 Plantation Dr Cookeville, TN 38506"
Whittle Springs Golf Course,"3113 Valley View Dr Knoxville, TN 37917"
Wild Laurel Golf Course,"702 Country Club Drive Townsend, TN 37882"
Williams Creek Golf Course,"2351 Dandridge Ave. Knoxville, TN 37915"
Willow Creek Golf Club,"12003 Kingston Pike Knoxville, TN 37922"
Willowbrook Golf Club,"6751 McMinnville Hwy Manchester, TN 37355"
Windtree Golf Course,"810 Nonaville Rd Mount Juliet, TN 37122"
Windyke Country Club,"8535 Winchester Rd Memphis, TN 38125"
Wingfoot Golf Course,"3169 Perry Browder Rd Union City, TN 38261"
"Woodlake Lodge, Golf and Country Club","330 Woodlake Blvd Tazewell, TN 37879"
Woodland Hills Golf & Country Club,"2 Club House Dr Pinson, TN 38366"
WynRidge Golf Club,"Hwy 51 S Troy, TN 38260"
